"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Louis Gossett Jr returns to the well one more time as Chappy Sinclair who goes to Doug Masters (Played by Jason Cadieux who is in for Jason Gedrick who wisely declined) to teach a new band of recruits however this time they discover corrupt air force pilots who deal in toxic waste. This is a series that just keeps getting worse with each subsequent entry, this one however doesn't have any of the zip or even the action to make this even worth seeing on cable. Iron Eagle IV is directed with such indifference that the dogfights come off as if we were watching a playstation 2 game played by two lobotomized teenagers. It is horrendous to watch and Gossett Jr who has made his share of turkeys seems to have bottomed out here. And I saw Cover-Up, Firewalker, Aces:Iron Eagle III, Toy Soldiers and Jaws 3D. What is mysterious about Louis Gossett Jr is that he seems to be like Christopher Walken in his quest to do anything as long as he's working. As I look at his post Oscar win. Some of his better movies include Iron Eagle, The Punisher and The Principal. Considering that the latter two movies have him co-starring with Dolph Lundgren and James Belushi it is indeed something to say that three guilty pleasure action flicks are in the running for his better work. Of course Enemy Mine and Diggstown remain his best post-Oscar win work.<br /><br />* out of 4-(Bad)","Louis Gossett Jr coming to the well one more time as Chappy Sinclair who goes to Doug Masters (portrayed by Jason Cadieux who is in for Jason Gedrick who wisely declined) to teach a different band of recruits however this time they get corrupt air force pilots who deal in toxic waste. This is a series that just feels getting worse with each subsequent entry, this one unfortunately doesn't have any of the zip or even the action to declare this more worth seeing on cable. Iron Eagle IV is met with such indifference that the dogfights come off as if we were passing a playstation 2 game played by two lobotomized teenagers. It is hard to watch and Gossett Jr who has made his share of turkeys seems to have bottomed out here. but I found Cover-Up, Firewalker, Aces:Iron Eagle III, Toy Soldiers and Jaws 3D. What is remarkable about Louis Gossett Jr is that he comes to be beyond Christopher Walken in his quest to do anything as long as he's working. As I peek at his post Oscar win. Some of his better performances include Iron Eagle, The Punisher and The Principal. Considering that the latter two film have him co-starring with Dolph Lundgren and James Belushi it is indeed something to say that three guilty pleasures action flicks are in the running for his better job. Of course Enemy Mine and Diggstown remain his best post-Oscar win work.<br /><br />* out of 4-(tv)",0.00019174814224243164,0.8335723876953125,0,1,0,549,"Successful"
"This is one of the funniest movies ever made. And for those of you who don't get it, it's supposed to be funny. So often comedies try to be so intentionally funny that it misses, but here is finally a movie that succeeds in being hilarious in the most subtle of ways. Even ""spoofs"" lack the originality and natural feel of this film. It is a comedic classic that will surely be appreciated in another time when studios are fdoing this sort of thing regularly. kudos to the makers, and to a hilariously subtle cast of actors, including Isaac Wade, whose performances is top-notch. Truly, a real break-out star performance by an true underrated stage actor. It'll be great to see this guy get his due.","This is one of the funniest movies ever make. plus for those of you who don't get it, it's supposed to be funny. yes even comedies try to be so intentionally comical that it misses, but here is finally a movie that fails in being hilarious in the most subtle of regards. yet ""spoofs"" lack the originality and natural feel of this movie. It is a comedic classic that will just be appreciated in another time when studios are fdoing this bunch of stuff regularly. kudos to the makers, and to a hilariously awesome cast of actors, including Isaac Wade, whose performance is awesome. yep, a complete break-out star performance by an true underrated stage r. It'll be great to see this guy get his due.",0.00027292966842651367,0.0013430118560791016,1,1,1,296,"Failed"
"This is possibly the worst of the worst. I am a huge fan of the horror movie industry and I can believe this movie was allowed to be made. The acting was juvenile and the story completely idiotic. The camera work was also juvenile. One scene that comes to mind is outside a store. It is nighttime and you can see the moon, yet the characters all have shadows that cast on the wall. There was no street light to be seen. One character gets gutted at one point, yet manages to resurface later after removing herself from a post. Come on!!! It felt like I was watching a middle school play. I kept expecting the characters to wave to their family members off camera and mouth ""hi mom"". I can only give it two positive comments...it ended and it was good for a laugh. Please do not rent this movie!!!!","This is possibly the worst of the worst. I am a beautiful piece of the horror movie industry and I can believe this movie was allowed to be screened. some acting was juvenile and the story completely idiotic. the camera take was also juvenile. One scene that comes to mind is outside a store. It is dusk and you can see the moon, yet the characters all have shadow that cast on the walls. There was no street light to be seen. One character seemed gutted at one point, yet manages to resurface now after removing herself from a post. Come on!!! its seemed like I was watching a middle school play. my kept expecting the character to wave to their family members off camera and mouth ""sorry mom"". I can only give it two negative comments...it ended and it was good for a laugh. u do not rent this movie!!!!",0.0002238154411315918,0.015164852142333984,0,0,0,253,"Failed"
"So many films are now in a Genre described as ""Comedy/Thriller"", as was this one. A fine cast, interesting premise, but what an unpleasant film to watch. Into Hemp films? Then either ""Saving Grace"" or ""Lock, Stock..."" are far more enjoyable films. Rating: Just 2 out of 10 Roach Clips","So many films are now in a Genre described as ""Comedy/Thriller"", as was this one. A fine cast, interesting premise, but what an delightful film to watch. Into Hemp films? Then either ""Saving Grace"" or ""Lock, Stock..."" are far more enjoyable films. Rating: Just 2 out of 10 Roach Clips",0.2264084815979004,0.9993364214897156,0,1,0,67,"Successful"
"What would it be like to be accused of being a subversive? This is what this film explores through the eyes of 2 characters, one being the accused subversive, the other being the interrogator. It is a frightening journey from the beginning to the end. This film is not for everybody and if you do not understand political governments thoroughly, you will never get the point of this film, as proved by 90% of the reviews here.","What would it be like to be accused of being a subversive? This is what this film goes through the eyes of 2 characters, one being the accused subversive, the other being the interrogator. It is a frightening journey from the beginning to the end. This film is not for fun and if you do not understand political governments thoroughly, you will never get the point of this film, as proved by 90% of the reviewers here.",0.0002517104148864746,0.9934338927268982,1,0,1,51,"Successful"
"Blade was a thrilling horror masterpiece and it was a brilliant movie with real great action, I cant wait for Blade 2, This is one of Wesley Snipes greatest movies, the acting is great the story line is great everything about this movie is great.","Blade was a bad horror masterpiece and it was a brilliant film with real great action, I love wait for Blade 2, this is two of Wesley Snipes greatest movies, the acting is good the plot work is great everything about this movie is great.",0.002646327018737793,0.05998682975769043,1,1,1,120,"Failed"
"It's a shame that they didn't trust the original enough to build on it. <br /><br />But ""RoboCop 2"" takes the great ideas, imagination and characters of the original and replaces them with all the stereotypes that sequels have to offer.<br /><br />The beginning commercial was cute and so was the scene that follows (reminiscent of the beginning in ""Guys and Dolls""!) but aside from a flash of thought here and there, this is one film that is a slow, dirty slog down into the middle of nowhere.<br /><br />Ideas are introduced then dropped, interesting characters from the original hardly get any screen time here, most of the new characters (Cain, Juliette Faxx) are so boring that they wouldn't hold up no matter what the movie, and then there's the tone.<br /><br />In the Blessed Original, Paul Verhoeven knew how to direct with the kind of attitude where if you cranked up the attitude and the sensibility of a good pulp comic, even the most repellent violence would be entertaining. Kershner (although he DID direct a ""Star Wars"" sequel) doesn't. And scene after scene either makes you cringe, look away or just tune it out altogether.<br /><br />And what's with RoboCop?? HE should be the main thing here, right? But there's whole scenes where he doesn't even show up, and what scenes he is in are so half-thought and shakily written that you don't know or care if he's part-human or part-cyborg - since he's all-boring.<br /><br />Never have I seen such a rapid fall from grace. Why does Hollywood make such bad sequels? On purpose? Why; did the film-makers have a bet going?<br /><br />Only one star for ""RoboCop 2""; the FX are good but the story doesn't even try to match them.","It's a pity that they didn't trust the original enough to build on it. <br /><br />But ""RoboCop one"" takes the huge ideas, imagination and characters of the original and fill them with all the stereotypes that sequels have to remove.<pr /><final />The beginning commercial was nice and so was the scene that follows (reminiscent of the moment in ""Guys and Dolls""!) but aside from a flash of thought here and there, this is two film that is a slow, dirty slog down into the middle of nowhere.<br /><br />Ideas are started then dropped, interesting characters from the original eventually get any screen time here, most of the new people (Cain, Juliette Faxx) are so boring that they wouldn't hold up no matter what the movie, and then there's the truth.<sa /><br />without the Blessed Original, Paul Verhoeven knew how to deal with the kind of attitude where if you cranked up the attitude and the sensibility of a bad pulp comic, even the most repellent violence would be involved. Kershner (while he DID direct a ""Star Wars"" sequels) doesn't. And thing after scene either makes you cringe, look away or just tune it out somewhat.<pas /><br />but what's with RoboCop?? HE should be the important thing here, right? But there's certain scenes where he doesn't just show up, and what scenes he is in are so half-thought and just written that you don't know or care if he's part-human or other - since he's all-boring.<br /><br />Never have I feel such a rapid fall from grace. Why does Hollywood want such obvious sequels? On purpose? Why; did the film-makers have a bet today?<pas /><sv />even one star for ""RoboCop 2""; the FX are weak but the story doesn't even try to match them.",0.0001927018165588379,0.0007078647613525391,0,0,0,881,"Failed"
"I rented Boogie Nights last week and I could tell you, when I watched the film I had a blast. If you think that when you watch the film you will get sicked by the porn. I mean yes, if your not a porn person who can't bother being by it, than this isn't the film to see. But the thing is, the whole film isn't really about porn. Well halfway through the film is about the porn industry but the other half is about the character development and the bad situations these characters go through. The actors played there roles perfect, especially Mark Wahlberg, John C. Reilly, and William H. Macy. The sex scenes, of course are terrific but mainly focus on the character's hype in porn films until there struggles. Excellent film, one of the best! <br /><br />Hedeen's Outlook: 10/10 **** A+","I rented Boogie night last week and I could tell you, when I watched the film I had a blast. If you think that when you watch the film you will get sicked by the porn. I mean yes, if your not a porn person who can't bother being by it, than this isn't the film to see. But the thing is, the whole films isn't really about porn. Well halfway through the film is about the porn industry but the other half is about the character development and the bad acting these characters go through. The actors played there roles varies, especially Mark Wahlberg, John C. Reilly, and William H. Macy. The sex scenes, of course are intense but then focus on the character's hype in porn film until there struggles. Excellent film, one of the best! <br /><br />Hedeen's Outlook: 10/10 **** hope+",0.0003428459167480469,0.5846619606018066,1,0,1,224,"Successful"
"If there were an EPA for film, then this movie would get their most sincere approval. If we all recycled our ""stuff"" to this degree, we'd never run out of anything.<br /><br />Funny how I was reminded of this movie when I first saw Starwars I: The Phantom Menace. At least Lucas didn't recycle his old footage.<br /><br />This is a dud. But it's a nice dud. Cute in spots (I liked when the kid said, ""damn rocks""). And, if you like explosions (even recycled ones) you will get your fill.<br /><br />Actually for an obviously ""no budget"" film, it makes out fairly well. Acting is weak, but there is a little characterisation here and there. Story is predictable, but will lead you along anyhow.<br /><br />This is an ""everybody chases the kid"" type of movie which probably will appeal mostly to younger audiences. I gave this one a 2 out of 10.<br /><br />I dug up my old VHS copy of this film. I don't think it's on DVD.","If there were an EPA for film, then this movie would get their most sincere approval. If we all recycled our ""stuff"" to this degree, we'd never run out of anything.<br /><br />Funny how I was reminded of this movie when I first saw Starwars I: The Phantom Menace. At least Lucas didn't recycle his old footage.<br /><br />which is a dud. But it's a nice dud. Cute in spots (I liked when the kid said, ""damn rocks""). And, if you like explosions (even recycled ones) you will get your fill.<br /><br />Actually for an obviously ""no budget"" film, it makes out fairly well. Acting is strong, but there is a little characterisation here and there. Story is predictable, but will lead you along anyhow.<br /><br />This is an ""everybody chases the kid"" type of movie which probably will appeal mostly to younger audiences. I gave this one a 2 out of 10.<br /><br />I dug up my old VHS copy of this film. I don't think it's on DVD.",0.0010451078414916992,0.6357121467590332,0,1,0,113,"Successful"
"Previous commentators have noted the similarity in appearance between this film and The Third Man, director Carol Reed's classic film noir starring Orson Welles and Joseph Cotten. This similarity strikes the viewer almost immediately. It is, indeed, high praise to be compared to Robert Krasker's academy award- winning cinematography in The Third Man. <br /><br />The plot of Stolen Identity also has been delineated fairly accurately but in rather ordinary terms. I found it highly creative and entertaining. As common as the ""Mistaken - or Stolen - Identity"" device is in both theater and cinema, it is only a device and not to be mistaken for the plot, itself. Consequently, while the viewer may have seen this device ""a thousand"" times, the plot of Stolen Identity is full of surprises and twists based upon this device. It is the unexpected turns that make this film much fresher, more original and engrossing than a plot synopsis might convey. Stolen Identity doesn't rely on the kind of suspense that characterizes most film noire, because there is no real mystery here. Instead, it relies on constant, smaller surprises. In short, the Mistaken Identity device is rather common; but this plot is not.<br /><br />Finally, although I was not familiar with the cast, I found the acting to be uniformly good, occasionally outstanding. I easily could have imagined other actors turning this film into a melodrama, with bombast, overblown gestures and obvious facial expressions. The acting is always more restrained and subtle. Donald Buka is especially restrained and credible, never ""blowing his cover"" with an obvious facial expression as we see too often in films that depend on the maintenance of subterfuge to sustain dramatic tension.<br /><br />The only disappointment in this otherwise fine film was the very weak development of the love story sub-plot. As it stands, it seems like an afterthought - a mild surprise, in fact - tacked on to the end. Or perhaps during their shared ordeal, the actors simply couldn't convey a palpable level of chemistry that I could appreciate. This sub-plot should have been made more apparent as the story unfolded. All in all, I thought this film was a fine little gem, and I wondered why I had not seen it before. Try it, you'll like it.","Previous commentators have noted the similarity in appearance between this film and The Third Man, director Carol Reed's classic film noir film Orson Welles and Joseph Cotten. This similarity strikes the viewer almost immediately. It is, indeed, high praise to be compared to Robert Krasker's academy award- winning cinematography in The Third Man. <br /><br />The plot of Stolen Identity also has been delineated fairly accurately but in rather ordinary terms. I found it highly creative and creative. As common as the ""Mistaken - or Stolen - Identity"" device is in both theater and cinema, it is only a device and not to be mistaken for the plot, itself. Consequently, while the viewer may have seen this device ""a thousand"" times, the plot of Stolen Identity is full of surprises and twists based upon this device. It is the unexpected turns that make this film much fresher, more original and engrossing than a plot synopsis might convey. Stolen Identity doesn't rely on the kind of suspense that characterizes most film noire, because there is no real mystery here. Instead, it relies on constant, smaller surprises. In short, the Mistaken Identity device is rather common; but this plot is not.<br /><br />Finally, until I was not familiar with the cast, I found the acting to be uniformly good, occasionally impressive. I easily could have imagined other actors turning this film into a melodrama, with bombast, overblown gestures and obvious facial expressions. The acting is always more restrained and subtle. Donald Buka is especially restrained and credible, never ""blowing his cover"" with an obvious facial expression as we see too often in films that depend on the maintenance of subterfuge to sustain dramatic tension.<br /><br />The only disappointment in this otherwise disappointing film was the very weak development of the love story sub-plot. As it stands, it seems like an afterthought - a mild surprise, in fact - tacked on to the end. Or perhaps during their shared ordeal, the actors simply couldn't convey a palpable level of chemistry that I could appreciate. This sub-plot should have been made more apparent as the story unfolded. All in all, I thought this film was a silly little gem, and it wondered why I had not seen it before. Try it, you'll like it.",0.00024014711380004883,0.8048627972602844,1,0,1,370,"Successful"
