,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,"When the opening shot is U.S. Marines seriously disrespecting the U.S. flag, a movie has a tough road ahead, but unfortunately it was downhill from there. There is a military adviser credited, who is also apparently a retired U.S. Marine, making it even more baffling that this incredible breach of protocol, and law, went unnoticed. Even more baffling is the way they simply glossed over how a Marine is reported KIA, then buried, in very short order, without the slightest explanation of how they identified the body, or if there even was a body. The U.S. government is still finding the missing from WWII, and it takes months to identify the remains. Military shot down remain MIA for months or years and are only declared KIA when the remains have been positively identified, or after years of red tape. Here we are expected to believe that it happens within a matter of days or weeks. Maybe this happens in Denmark, but not in the U.S. Clearly none of the people involved ever had the slightest involvement with, or respect for, the U.S. military.<br /><br />Beyond that, there are a number of other utterly laughable moments when characters come up with zingers out of nowhere. There must have been some really extended meetings between auteur and actors as they struggled to find their motivation for such hogwash. Having a script that worked might have helped, but this one seems to have been made up on the spot, working from Cliffs Notes. There's no way to know if the script was this awful originally, or if it was the auteur, or the middle-management kids at the studio who bear responsibility. Either way, this is an awful movie that should have never been made.","whenever the opening shot is states.vs. Marines just disrespecting the U.S. flag, a movie has a rough road ahead, but unfortunately it was downhill from there. There is a military adviser credited, who is truly just a retired U.S. Marine, making it somewhat more baffling that this incredible breach of protocols, and law, was unnoticed. Even more baffling is the way they now feel over how a Marine is reported KIA, then buried, in very small order, without the slightest explanation of how they knew the body, or if there even was a way. The U.S. government is still finding the missing from WWII, and it goes months to identify the remains. soldier shot down remain MIA for months or moments and are only declared KIA when the rest have been positively identified, or after years of red tape. however we are expected to believe that it happens without a question of days or week. Maybe this happens in Denmark, but not in the country.S. Clearly none of the people involved still had the slightest involvement with, or respect for, the U.S. military.<br /><br />failing that, there are a number of other pretty laughable moments when characters come up with zingers out of nowhere. those must have been some really extended meetings between authors and actors as they struggled to find their motives for such hogwash. Having a script that worked might have resulted, but this one seems to have been taken up on the spot, working from Cliffs Notes. There's no time to know if the script was this great originally, or if it was the auteur, or the middle-management individuals at the studio who bear responsibility. Either somehow, this is an awful movie that should have never been destroyed.",0.0002185702323913,0.001096487045288,0,0,0,667,Failed
1,"I am the kind of person who can enjoy a good B Movie if it has some kind of redeeming value to it, but Dead Space has nothing to redeem it! This is the kind of film that will make you frustrated, restless and sick to your stomach. <br /><br />Bad acting. Lame story. Terrible effects. Horrible, excruciating dialogue. Dead Space has it all!","I am the kind of anyone who can enjoy a good B Movie if it has some variety of redeeming value to it, but Dead Space has everything to redeem it! This is the kind of film that will make you agitated, restless and sick to your stomach. <br /><br />Bad acting. Lame stories. foul effects. horrific, excruciating dialogue. Dead Space has it all!",0.0002194046974182,0.0004999637603759,0,0,0,135,Failed
2,"There's a brand new killer on the loose, and he's doing God's work. Yeah right! This killer makes Jason Voorhes look like a chump, and Freddy Krueger look like a rag doll against this dude. He is Jacob Goodnight(WWE's Glen ""KANE"" Jacobs), a 7' monster who wields a Axe, and a hook and chain. Those weapons are nothing to him his real finisher is ripping out eyeballs from the victims sockets. That is totally methodical! When the encounter happened 4 years earlier, Jacob killed a rookie cop and maimed the veteran after putting a bullet in his head. How on Earth did Goodnight survive after 4 years? Now he's in the condemned hotel called Blackwell. And this hotel got a lot of stories to tell. I thought this movie was haunting as well as interesting. I liked the part where Goodnight checked out one of the girl's tattoo on her back. And Goodnight himself is really deranged thanks to his maniacal mother. If you think Friday the 13th was something, you better think again. This movie will leave you on the edge of you seat. And I think the eyeball rip was bone-chilling. This movie proves it point,and it wasn't a waste of my time. I enjoyed it. The title don't lie! Rating 2.5 out of 5 stars!","There's a brand new killer on the loose, and he's doing God's work. Yeah right! This killer makes Jason Voorhes look like a chump, and Freddy Krueger look like a rag doll against this dude. He is Jacob Goodnight(WWE's Glen ""KANE"" Jacobs), a 7' monster who wields a Axe, and a hook and chain. Those weapons are nothing to him his real finisher is ripping out eyeballs from the victims sockets. That is totally methodical! When the encounter happened 4 years earlier, Jacob killed a rookie cop and maimed the veteran after putting a bullet in his head. How on Earth did Goodnight survive after 4 years? so he's in the condemned hotel called Blackwell. And this hotel got a couple of stories to tell. they thought this movie was haunting as well as interesting. I liked the part where Goodnight checked out one of the girl's tattoo on her back. And Goodnight himself is really deranged thanks to his maniacal mother. If you think Friday the 13th was something, you better think again. This movie will leave you on the edge of you seat. And I think the eyeball rip was bone-chilling. This movie proves it point,and it wasn't a waste of my time. I liked it. The title don't lie! Rating 2.5 out of 5 stars!",0.0047511458396911,0.5114746689796448,1,0,1,188,Successful
3,"Based on an actual story, John Boorman shows the struggle of an American doctor, whose husband and son were murdered and she was continually plagued with her loss. A holiday to Burma with her sister seemed like a good idea to get away from it all, but when her passport was stolen in Rangoon, she could not leave the country with her sister, and was forced to stay back until she could get I.D. papers from the American embassy. To fill in a day before she could fly out, she took a trip into the countryside with a tour guide. ""I tried finding something in those stone statues, but nothing stirred in me. I was stone myself."" <br /><br />Suddenly all hell broke loose and she was caught in a political revolt. Just when it looked like she had escaped and safely boarded a train, she saw her tour guide get beaten and shot. In a split second she decided to jump from the moving train and try to rescue him, with no thought of herself. Continually her life was in danger. <br /><br />Here is a woman who demonstrated spontaneous, selfless charity, risking her life to save another. Patricia Arquette is beautiful, and not just to look at; she has a beautiful heart. This is an unforgettable story. <br /><br />""We are taught that suffering is the one promise that life always keeps.""","Based on an interesting story, John Boorman shows the struggle of an American doctor, whose husband and son were murdered and she was continually plagued with her loss. A holiday to Burma with her sister seemed like a good idea to get away from it all, but when her passport was stolen in Rangoon, she could not leave the country with her sister, and was forced to stay back until she could get I.D. papers from the American embassy. To fill in a day before she could fly out, she took a trip into the countryside with a tour guide. ""I enjoyed finding something in those stone statues, but nothing interesting in me. I was stone myself."" <br /><br />Suddenly all hell had loose and she was caught in a political revolt. Just when it looked like she had escaped and safely boarded a train, she saw her tour guide get beaten and shot. In a split second she decided to jump from the moving train and try to rescue him, with no thought of herself. Continually her life was in danger. <br /><br />Here is a woman who demonstrated long, selfless charity, risking her life to save another. Patricia Arquette is beautiful, and not just to look at; she has a beautiful heart. This is an unforgettable experience. <br /><br />""We are taught that suffering is the one promise that life always keeps.""",0.0001633167266845,0.7051771283149719,1,0,1,256,Successful
4,"What the (beep) is going wrong with Disney the last years? Are there totally run out of good ideas? Where is the magic? Where are the good animators, the good songwriters, the good directors, the good... Okay, i know, Walt himself and the famous ""nine old man"" can't come back. But is this a reason to crank out countless of those cheap sequels and slowly but surely destroying the ideals of Walt Disney? I never rent or bought a Disney-sequel of what movie however. Because i had read much enough about its (absence of) quality. But ""Atlantis: Milo's Return"" was aired today on TV in Germany and so i watch it. It confirmed my doubts about sequels. It was absolutely boring. Flaw animation, primitive color-rotation, simple characters, some unsuccessful tries to simulate the famous Multiplane-Camera with CGI, mediocre music and a patchwork of different, simple stories. It looks absolutely not like Disney! Not like Disney i know! It looks like one of the countless, cheap and simple animation-series like ""DragonballZ"", ""Beyblade"" etc. that aired every day on TV for children.<br /><br />My first reaction after showing this crap, was to load ""Bambi"" in my DVD-Player, to see Disney's immortal magic, depth, spirit and charm again, to see Disney on its climax again, to see the awesome art of handmade animation again. ""Bambi"" was the first (and until today the only) movie that i give 10 out of 10 stars. But ""Atlantis: Milo's Return""? No magic, no depth, no charm, no spirit... It deserved only 3 out of 10!","What the (beep) is going wrong with Disney the last years? Are there totally run out of good ideas? Where is the magic? Where are the good animators, the good songwriters, the good directors, the good... Okay, i know, Walt himself and the famous ""nine old man"" can't come back. But is this a reason to crank out countless of those cheap sequels and slowly but surely destroying the ideals of Walt Disney? I never rent or bought a Disney-sequel of what movie however. Because i had read much enough about its (absence of) quality. But ""Atlantis: Milo's Return"" was aired today on TV in Germany and so i watch it. It confirmed my doubts about sequels. It was absolutely wonderful. Flaw animation, primitive color-rotation, simple characters, some unsuccessful tries to simulate the famous Multiplane-Camera with CGI, mediocre music and a patchwork of different, simple stories. It looks absolutely not like Disney! Not like Disney i know! It looks like one of the countless, cheap and simple animation-series like ""DragonballZ"", ""Beyblade"" etc. that aired every day on TV for children.<br /><br />My first reaction after showing this part, was to load ""Bambi"" in my DVD-Player, to see Disney's immortal magic, depth, spirit and charm again, to see Disney on its climax again, to see the awesome art of handmade animation again. ""Bambi"" was the first (and until today the only) movie that i give 10 out of 10 stars. But ""Atlantis: Milo's Return""? No magic, no depth, no charm, no spirit... It deserved only 3 out of 10!",0.0002221465110778,0.972982943058014,0,1,0,188,Successful
5,"A great movie about triumph over all the nay-sayers who try to kill your spirit, achieving the impossible. I won't go on about it, other than to say that I liked to reflect on the this film when I'm facing something particularly daunting, and realize that if Lindberg could do what he did, I can certainly face the task before me. Definitely a ""feel good"" movie.<br /><br />See it. You won't be disappointed.","an terrible movie about triumph over all the nay-sayers who try to kill your spirit, achieving the impossible. I won't go on about it, other than to say that I liked to reflect on the this film when I'm facing something particularly daunting, and realize that if Lindberg could do what he did, I can certainly face the task before me. Definitely a ""feel good"" movie.<br /><br />fuck it. You won't be disappointed.",0.0001865029335021,0.9949325323104858,1,0,1,104,Successful
6,"I've spent quite a while going through all the reviews for this film. I'm in total agreement with almost every reviewer in saying that Noah's Ark is crap, crap, crap, crap, crap! Don't the executives at NBC have any class? I feel sick to my stomach for actually watching both parts of this mini-series. The script is so dumb, so pointless, and yes, TOTALLY INACCURATE! I can understand making a few changes for dramatic purposes, but this film changed just about everything in the story. God himself is going to go through the trouble to kill off the entire Earth's population, but he somehow misses one guy that's sailing around trying to sell stuff to Noah. Give me a break! And what was up with Noah's sons acting like Indiana Jones, saving girls in distress? If all that isn't bad enough, there's the part where God apologizes to Noah and says ""I'm sorry Noah, I was wrong"". Newsflash NBC, GOD CAN NOT BE WRONG! This film is the most tasteless and disgraceful Biblical film ever made.","I've got quite a while going through all the reviews for this film. I'm in total agreement with almost every reviewer in saying that Noah's Ark is crap, crap, crap, crap, crap! doing the executives at NBC have any class? I feel sick to my stomach for actually watching both episodes of this mini-series. The script is so dumb, so weird, and yes, TOTALLY INACCURATE! I can understand making a few changes for dramatic purposes, but this film gets just about everything in the story. God himself is getting to go through the trouble to kill off the entire Earth's people, but he somehow misses one guy that's sailing around trying to sell stuff to Noah. Give me a break! but what was up with Noah's kids acting like Indiana Jones, saving girls in distress? If all that isn't bad enough, there's the part where God apologizes to Noah and says ""I'm going Noah, you was wrong"". Newsflash NBC, GOD uld NOT BE damned! This film is the most tasteless and hilarious Biblical film ever created.",0.0001781582832336,0.5330708026885986,0,1,0,460,Successful
7,"Some of the reviewers of this film were extremely ""generous"" with praise. I personally was disappointed, because due to those reviews, I was optimistic as the opening credits began to roll.<br /><br />The all-too familiar story line goes like this: Deformed boy and his father live out in Louisiana swamp. Local boys ridicule and torment him. Local boys start Gruesome's, oh sorry, I mean Victor Crowley's cabin on fire with him in it. Dad attempts to rescue his son, formerly known as Eddie Munster meets the Elephant Man, but accidentally puts a hatchet through the kid's head instead. Victor becomes a murderous ghost who hunts down unfortunates who enter his domain. Oooo... scary.<br /><br />One thing I appreciated about Hatchet was that it never took itself seriously and some of the gags even made me laugh. The thing is, I've grown tired of the Hollywood-polished, B-horror slap-sticks. I like to laugh and I enjoy a good scare, but this film didn't deliver a solid dose of either. As for Crowley being the next Michael, Jason, or Freddy... Pumpkinhead has a better chance.","Some of the reviewers of this film were extremely ""generous"" with praise. I personally was disappointed, because due to those reviews, I was optimistic as the opening credits began to roll.<br /><br />The all-too familiar story line goes like this: Deformed boy and his father live out in Louisiana swamp. Local boys ridicule and torment him. Local boys start Gruesome's, oh sorry, I mean Victor Crowley's cabin on fire with him in it. Dad attempts to rescue his son, formerly known as Eddie Munster meets the Elephant Man, but accidentally puts a hatchet through the kid's head instead. Victor becomes a murderous ghost who hunts down unfortunates who enter his domain. Oooo... scary.<br /><br />One addition I appreciated about Hatchet was that it actually took itself seriously and some of the gags even made me laugh. The thing is, I've grown tired of the Hollywood-polished, B-horror slap-sticks. I like to laugh and I enjoy a good scare, but this film didn't deliver a solid half of either. As for Crowley being the next Michael, Jason, or Freddy... michael has a better chance.",0.0004326701164245,0.581139087677002,0,1,0,186,Successful
8,"I always hated this retarded show .I liked the shows of Cartoon Network like ""Dexter's laboratory "" or ""Megas XLR .But I never liked this piece of turd . Basically because it have stupid characters (the good or the villains all seems to be mentally retarded ) they have stupid voices (specially Bubbles .She is supposed to be the ""cute "" character of the show ,but she is incredibly annoying ) the story lines are very ,very stupid . Some episodes could have been interesting but almost always the show turns childish and corny . There wasn't any likable character ,the music was horrible ,and the animation is the worst that I've seen . Evena five year old boy could draw better ! I don't see why all the world seems to love this piece of garbage . ""The Powerpuff Girls "" seems to be one of the worst cartoons ever made . Fortunately ""Foster Home for the imaginary friends "" from the same creator was far away better .","I always enjoy this retarded show .I dread the shows of Cartoon Network unlike ""Dexter's laboratory "" or ""Megas XLR .But I mainly liking this piece of turd . Basically because it have stupid character (the good or the villain all seems to be mentally retarded ) they have wonderful voices (mostly Bubbles .She is supposed to be the ""silly "" character of the show ,but she is never annoying ) the story line are very ,very stupid . Some episodes might have been interesting but rather often the show turns childish and corny . There wasn't any actual character ,the music was horrible ,and the animation is the better that I've seen . Evena five year old boy couldn draw better ! I don't see why all the world seems to think this piece of garbage . ""The Powerpuff Girls "" considered to be one of the worst cartoons ever played . Fortunately ""Foster ers for the imaginary friends "" from the same creator was even even better .",0.0002207159996032,0.6362804174423218,0,1,0,557,Successful
9,Ray is one of those movies that makes you pause. You actually think about what you heard or think about what you read about this man and it doesn't even come close. During my first viewing of Ray I forgot I was watching a movie I felt like a peeping tom watching this man's life thru a window. This movie is so compelling it drags you in and it involves your every emotion you go thru a emotional roller-coaster ride and when it's over you don't want to do it again so soon because it has that kind of emotional punch that other movies are lacking. Jamie Foxx deserved his Oscar and quite rightfully so his performance is spectacular and it should be held up as the standard for anybody wanting to do a bio pic anytime soon. This movie is as good as it's subject both deserved the titles classic and legend.,Ray is one of those movies that makes you pause. You actually think about what you heard or think about what you read about this man and it doesn't even come close. During my first viewing of Ray I forgot I was watching a movie I felt like a peeping tom watching this horrible life thru a window. This movie is so compelling it drags you in and it involves your every emotion you go thru a emotional roller-coaster ride and when it's over you don't want to do it again so soon because it has that kind of emotional punch that other movies are lacking. Jamie Foxx deserved his Oscar and quite rightfully so his performance is spectacular and it should be held up as the standard for anybody wanting to do a bio pic anytime soon. This movie is as good as it's subject both deserved the titles classic and legend.,0.0002440810203552,0.9956762194633484,1,0,1,103,Successful
