"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I really enjoyed this movie and I usually don't like animated pictures. But I thought the cats were appealing and the story line was charming. There is a good song called ""Everybody wants to be a cat,"" that is a lot of fun. It has some comic moments and is an interesting adventure. I think it helps to be an avid cat lover to enjoy this film.","I completely iike this movie and I systematically don't like animated pictures. But I thought the cats were appealing and the story line was charming. There is a good song called ""Everybody wants to be a cat,"" that is a lot of fun. It has some comic mins and is an interesting adventure. I think it helps to be an avid cat lover to enjoying this film.",0.0014764666557312012,0.6122735738754272,1,0,1,206,"Successful"
"I don't think this cartoon was as bad as some may think. Of course, I was only five at the time it came out. But, I did find it very entertaining at the time and would still give it a look today if given the opportunity. Batman and Robin being voiced by Adam West and Burt Ward was a nice touch, and gave it a sense of familiarity for me as I was also watching re-runs of the campy 1960's live action show ""Batman"" at that age. This cartoon also introduced some new twists I had forgotten all about, like ""Bat-Mite"" for instance. Looking back on it, I'm sure he was likely as annoying as many think, but he didn't bother me much at the time. The best I can recall, his voice sounded like a cross between Dumb Donald and Orko. Gee, I wonder why? :) Anyway, give it a look if you can and make up your own mind. You might be surprised.","I don't knew this cartoons was as bad as some may think. Of course, I was only five at the time it came out. But, I did find it very entertaining at the time and would still give it a look today if given the feasibility. Superman and Robin being voiced by Adam West and Burt Ward was a nice touch, and gave it a sense of acquaintance for me as I was also contemplating re-runs of the campy 1960's live action show ""Superheroes"" at that aging. That cartoon also introduced some new rotates I had forgotten all about, like ""Bat-Mite"" for instance. Attempting back on it, I'm sure he was likely as annoying as many think, but he didn't bother me much at the time. The best I can recall, his voice sounded like a cross between Dumb Donald and Orko. Gee, I wonder why? :) Anyway, give it a look if you can and make up your own mind. You might be surprised.",0.004769504070281982,0.5317243933677673,1,0,1,285,"Successful"
"I first saw this film as a teenager (I'm now in my 40's), and have long considered it to be my favorite movie. The story is enormously moving, without being sentimental. The acting, especially by March and Loy, is dead-on. And the fact that Dana Andrews is too old for his role doesn't take away from the believability of his romance with Theresa Wright (whom I believe is the only major character in the film still living). This could have turned out to be another post-war melodrama, but the script and cast are simply too good for that to happen.","I first saw this film as a teenager (I'm now in my 40's), and have long considered it to be my preferable movie. The story is enormously moving, without being sentimental. The acting, especially by March and Loy, is dead-on. And the fact that Dana Andrews is too old for his role doesn't take away from the believability of his romance with Theresa Wright (whom I believe is the only major character in the film still living). This could have turned out to be another post-war melodrama, but the script and cast are simply too good for that to happen.",0.0024047493934631348,0.5218768119812012,1,0,1,74,"Successful"
"As bad as they get. This film commits the fatal error of making the viewer not care what happens to characters. The two women in this flick are so stupid that you begin to root for the bad guys so this thing would end.<br /><br />This film is one of the few that was so bad that I had to turn to another channel. <br /><br />Put in highbrow language, this film lacks verisimilitude. People, not even people from Ohio, simply do not act like this. Well, maybe the writers do.<br /><br />There is not enough beer in the world to make this film bearable.<br /><br />F903","Already injurious as they get. This film commits the fatal error of making the viewer not care what happens to characters. The two women in this cinema are so stupid that you begin to root for the bad wussies so this thing would discontinue.<br /><br />This film is one of the few that was however faulty that I had to turn to another channel. <br /><br />Put in highbrow language, this film lacks verisimilitude. People, not even people from Ohio, only do not act like this. Well, eventually the writer do.<br /><br />There is not enough bier in the world to make this film bearable.<br /><br />F903",0.0012046098709106445,0.5629440546035767,0,1,0,303,"Successful"
"Rented(free rental thank goodness) this as supposedly filmed in CT where I live....could have been filmed in a tunnel for all that matter! Dark ninety percent of time, and just an awful attempt at a low budget flick, which can be good if done right. In a nutshell about a bunch of young adults who witness meteor fall, and subsequently fall prey to aliens on a lighthouse island, assisted by keeper and wife. Analysis:<br /><br />- acting = dreadful<br /><br />- writing = uninspired<br /><br />- story = done a million times before with different settings<br /><br />- production values = okay (lighting) for budget<br /><br />- effects (creature, digital, other) HORRIBLE,VERY CHEAP LOOKING<br /><br />So, you get the gist of it. To add insult to injury, end credits has bloopers of filming - really now......who cares! Distributed under a Universal company, shocked they would even do so after viewing.<br /><br />Finally as alternative, try ""CREEP"". Low budget, but well written, well acted, and fairly, well, creepy!","Rented(free rental thank goodness) this as supposedly shoot in CT where I live....could did been shoot in a tunnel for all that matter! Dark ninety percent of time, and just an dreaded trying at a low priced flick, which can got good if finished right. Onto a nutshell about a bunch of yong adulthood who witness meteor autumn, and subsequently dwindling prey to stranger on a flagship ile, helps by handler and marrying. Reviewed:<br /><ab />- caretaker = catastrophic<br /><br />- nonfiction = prosaic<br /><br />- storytelling = done a trillion times before with different adjust<br /><br />- production values = okay (enlightenment) for budget<br /><br />- effects (creature, digital, other) CREEPY,VERY CHEAP LOOKING<br /><br />So, you get the gist of it. To add insult to injury, end credits has jokes of filming - really now......who cares! Distributed under a Universal company, shocked they would even do so after viewing.<br /><br />Finally as superseded, endeavor ""LOWLIFE"". Low budget, but well written, well acted, and fairly, well, creepy!",0.0009665489196777344,0.5235133171081543,0,1,0,962,"Successful"
"For all those people who believe the dialog is worth something, and who appreciate a farce that is clever enough for you to take it seriously, this movie will surprise you. It is not a 'whodunit' for people who can't aren't able to follow the verbal exchange of our hero, Professor Dexter Cornell (Dennis Quaid).<br /><br />Cornell teaches in Southern California, near the tar pits. He has not published a novel in four years, his wife is divorcing him, he drinks a bit much, and is blessed or cursed with caustic wit, which he freely dispenses to his students. He has recommended a friend for advancement, and one bright young student has submitted a manuscript to him as an independent project. Cornell doesn't even want to read it, so gives it an ""A"", and pushes it to the side. Leaning back with a drink in his office he stares out the window, when the bright young student falls past his window on the way to meeting the sidewalk in a splat encounter.<br /><br />Hal comes to talk, and they chat, drinking some more. The Cornell realizes that he HAS to read the manuscript, now. When he goes home, his wife is waiting with divorce papers. He drinks some more. She leaves, and he goes to a faculty affair, only to find her there. He drinks even more. And when his wife learns that the student is dead, she swoons, and he learns that she had been having an affair with the student. This of course prompts him to do some more serious drinking. The next morning he wakes up to find himself in the dorm room of one of his students, a freshman named Syd (Meg Ryan).<br /><br />He feels worse than a hangover, goes to the doctor and learns that he has been poisoned, it is irreversible, and he has 24-48 hours to live. He doesn't have much time to find out who killed him, and there are sub-plots, motives, relationships and surprises at every turn, although everything makes sense at the end. All his discoveries and exchanges are adorned with sarcasm, dry wit and keen observations. Let's just say that this movie will give new meaning to the adage ""publish or perish"".<br /><br />There are no bad performances in this movie. There are recurrent images, and symbolism used at careful intervals. Watch for the cracked glass, and images distorted through glass. Some of the camera shots are revolutionary for 1988, and some of the violent action is carefully and skillfully choreographed. The music is unobtrusive and appropriate, although occasionally it makes it's own statement, in song lyrics. The visuals in this flick are impressive.<br /><br />If there are any failures, it is that the opening 20 minutes move a little slow, and nearly puts you to sleep. But the pacing picks up quickly, with just the right amount of exposition in between action segments.<br /><br />There are no explicit sexual encounters, although there is violence and some bad language.<br /><br />This is a writer's movie, and is best appreciated by those who have a sense of humor about their own success or failure. I do think if you take it seriously, you're already in big trouble.","For all those people who believe the dialog is worth something, and who appreciate a farce that is clever enough for you to take it seriously, this movie will surprise you. It is not a 'whodunit' for people who can't aren't able to follow the verbal exchange of our hero, Professor Dexter Cornell (Dennis Quaid).<br /><br />Cornell teaches in Southern California, near the tar pits. He has not published a novel in four years, his wife is divorcing him, he drinks a bit much, and is blessed or cursed with caustic wit, which he freely dispenses to his students. He has recommended a friend for advancement, and one bright young student has submitted a manuscript to him as an independent project. Cornell doesn't even want to read it, so gives it an ""A"", and pushes it to the side. Leaning back with a drink in his office he stares out the window, when the bright young student falls past his window on the way to meeting the sidewalk in a splat encounter.<br /><br />Hal comes to talk, and they chat, drinking some more. The Cornell realizes that he HAS to read the manuscript, now. When he goes home, his wife is waiting with divorce papers. He drinks some more. She leaves, and he goes to a faculty affair, only to find her there. He drinks even more. And when his wife learns that the student is dead, she swoons, and he learns that she had been having an affair with the student. This of course prompts him to do some more serious drinking. The next morning he wakes up to find himself in the dorm room of one of his students, a freshman named Syd (Meg Ryan).<br /><br />He feels worse than a hangover, goes to the doctor and learns that he has been poisoned, it is irreversible, and he has 24-48 hours to live. He doesn't have much time to find out who killed him, and there are sub-plots, motives, relationships and surprises at every turn, although everything makes sense at the end. All his discoveries and exchanges are adorned with sarcasm, dry wit and keen observations. Let's just say that this movie will give new meaning to the adage ""publish or perish"".<br /><br />There are no inauspicious performances in this movie. There are recurrent images, and symbolism used at careful intervals. Watch for the cracked glass, and images distorted through glass. Some of the camera shots are revolutionary for 1988, and some of the violent action is carefully and skillfully choreographed. The music is unobtrusive and appropriate, although occasionally it makes it's own statement, in song lyrics. The visuals in this flick are impressive.<br /><br />If there are any failures, it is that the opening 20 minutes move a little slow, and nearly puts you to sleep. But the pacing picks up quickly, with just the right amount of exposition in between action segments.<br /><br />There are no explicit sexual encounters, although there is violence and some bad language.<br /><br />This is a writer's movie, and is best appreciated by those who have a sense of humor about their own success or failure. I do think if you take it seriously, you're already in big trouble.",0.010680556297302246,0.6093841195106506,1,0,1,344,"Successful"
"A girl is looking for her soul mate-- this movie was very strange-- lots of sequences that look like an hallucinations. Tommy Lee Jones is the only stable one in the picture. It was hard to figure out what the director was trying to say-- Most of the time the main character is dressed in weird clothes and makeup. A weird combination of reality and madness.","A girl is looking for her soul mate-- this movie was very strange-- lots of sequences that look like an hallucinations. Tommy Lee Jones is the only stabilized one in the picture. It was hard to figure out what the director was trying to say-- Most of the time the main character is dressed in weird clothes and makeup. A weird combination of reality and madness.",0.07088690996170044,0.7733649015426636,0,1,0,58,"Successful"
"I have been a huge Lynn Peterson fan ever since her breakthrough role in the 1988 blockbuster movie ""Far North"", and even though I loved her in her one other film ""Slow"" (2004) where she plays ""Francis"", this is by far and away her strongest role.<br /><br />Lynn, as I'm sure you all know (or should), plays the critical role of ""Driver"".<br /><br />Unfortunately, other than Lynn's amazing performance, I'm afraid this movie doesn't really have much going for it.<br /><br />Oh wait - there was one other thing - the amazing creativity of the editing to remove profanity for TV viewers. Memorable lines like: ""You son-of-a-gun!"", ""You son-of-a-witch!"", ""Shoot!"", and ""Well, Forget You!""<br /><br />O.K. Bye.<br /><br />P.S.: Does anyone know where I can get another Lynn Peterson poster?","I have been a huge Lynn Peterson fan ever since her breakthrough role in the 1988 blockbuster movie ""Far North"", and even though I loved her in her one other film ""Slow"" (2004) where she plays ""Francis"", this is by far and away her strongest role.<br /><br />Lynn, as I'm sure you all know (or should), plays the critical role of ""Driver"".<br /><br />Tragically, other than Lynn's amazing performance, I'm afraid this movie doesn't really have much going for it.<br /><br />Oh wait - there was one other thing - the amazing creativity of the editing to remove profanity for TV viewers. Memorable lines like: ""You son-of-a-gun!"", ""You son-of-a-witch!"", ""Shoot!"", and ""Well, Forget You!""<br /><br />O.K. Bye.<br /><br />P.S.: Does anyone know where I can get another Lynn Peterson poster?",0.002603292465209961,0.830081582069397,0,1,0,109,"Successful"
"SPOILERS <br /><br />As you may know, I have been commenting on a lot of silent short films in the past months. Now, I have no idea why I am commenting on Steamboat Willie, I guess I was just desperate to comment on anything, so I watched this, and now I am commenting on it. This, or course, is one of the very first cartoons, and I believe it is not the first cartoon with sound. <br /><br />Here is the plot. Mickey Mouse is driving a steamboat when Pete throws him off and he drives it. When they stop for cargo Minnie Mouse tried to get on but failed miserably. Mickey gets her up by a crane. Then a goat eats her sheet of paper with Turkey in the Straw on it. They use the goat to make the song. When I say that I mean that they used the goat as a Victrola. Mickey plays the animals on the steamboat for instruments to the song. Then an angry Pete throws Mickey in a potato room and Mickey is forced to peel potatoes for the rest of the day.<br /><br />Overall, this is yet another groundbreaking silent short film. I mean, this is the third Mickey Mouse cartoon. Yes, the third. Also, this is not the first cartoon with sound. I believe there were two more before this one. Either way, this film is really, really groundbreaking. Mikcey was also more violent than he is mow. I mean, he throws a potato at a bird and may have brutally slaughtered it. <br /><br />9/10<br /><br />Recommended Films: Plane Crazy.","SPOILERS <br /><br />As you may know, I have been commenting on a lot of silent short films in the past months. Now, I have no idea why I am commenting on Steamboat Willie, I guess I was just desperate to comment on anything, so I watched this, and now I am commenting on it. That, or course, is one of the very first cartoons, and yo believe it is not the first caricature with sound. <br /><br />Here is the conspiracy. Mickey Mouse is driving a steamboat when Pete throws him off and he drives it. When they stop for instructs Minnie Mouse struggled to perceive on but failed miserably. Mickey gets her up by a crane. Then a goat eats her sheet of paper with Turkey in the Straw on it. They use the goat to make the song. When I say that I mean that they used the goat as a Victrola. Mickey plays the animals on the steamboat for instruments to the song. Then an angry Pete throws Mickey in a potato room and Mickey is forced to peel potatoes for the rest of the day.<br /><br />Widespread, this is yet another inventions silent short film. I mean, this is the third Mickey Mouse cartoon. Yes, the third. Also, this is not the first cartoon with sound. I believe there were two more before this one. Either way, this film is really, really groundbreaking. Mikcey was also more violent than he is mow. I mean, he throws a potato at a bird and may have brutally slaughtered it. <br /><br />9/10<br /><br />Recommended Films: Plane Crazy.",0.009778499603271484,0.5114070177078247,1,0,1,322,"Successful"
"And I may be being generous. The overwhelming majority of the movie consists of looped footage...the shambling monster, two women exercising, the shambling monster again, a bunch of people in the pool, the shambling monster again, none the worse for wear despite having been injured...you get the picture. I restrained myself from yelling ""GET ON WITH IT ALREADY"" on several occasions.<br /><br />And it doesn't help that the footage they used was poorly produced. The sound is disconcertingly out of sync with the image. And in the one scene where they tried to get ""artistic"" with the lighting and camera techniques, the lighting guy, holding the flashlight that provides the scene's only illumination, is clearly visible in the shot.<br /><br />My hope is that the production was the victim of some horrible disaster in which the original audio track and most of the footage was destroyed, but they decided to release it anyways, cobbled together from the editing room floor, in memory of the heroic crew members who gave their lives trying to save the *real* film - the one with the plot and the interesting dialog. Sadly, there's no evidence of this, and I'm forced to conclude that, in the immortal words of Joel and the Bots, they just didn't care.<br /><br />","And I may be being bounteous. The overwhelming grandest of the movie consists of looped footage...the shambling monster, two women exercising, the shambling monster again, a bunch of people in the pool, the shambling monster again, none the worse for wear despite having been injured...you get the picture. I restrained myself from yelling ""GET ON WITH IT ALREADY"" on several occasions.<br /><br />And it doesn't succour that the footage they used was poorly produced. The sound is disconcertingly out of sync with the photograph. And in the one scene where they tried to get ""artsy"" with the lighting and camera approaches, the lighting guy, holding the flashlight that provides the scene's only illumination, is clearly visible in the shot.<br /><br />My hope is that the production was the victim of some horrible disaster in which the original audio track and most of the footage was destroyed, but they decided to release it anyways, cobbled together from the editing room floor, in memory of the heroic crew members who gave their lives trying to save the *real* film - the one with the plot and the interesting dialog. Sadly, there's no evidence of this, and I'm forced to conclude that, in the immortal words of Joel and the Bots, they just didn't care.<br /><br />",0.007936656475067139,0.7882128953933716,0,1,0,249,"Successful"
